Xpos,Ypos,m_z,mobility,inten,msFWHM,mobilityFWHM
0.0000,0.0000,234.7657,23.580,2192,0.012635,2.165
0.0000,0.0000,230.7700,24.081,885,0.014937,1.849
0.0000,0.0000,234.7669,23.746,1114,0.014867,2.492
0.0000,0.0000,232.7679,23.926,1305,0.016198,1.932
0.0000,0.0000,132.8685,20.601,646,0.011287,3.005
0.0000,0.0000,230.7710,24.032,913,0.013434,2.738
0.0000,0.0000,234.7682,23.407,1027,0.01622,2.396
0.0000,0.0000,232.7671,23.707,1544,0.015691,2.425
0.0000,0.0000,232.7701,23.445,811,0.018392,2.094
0.0000,0.0000,230.7708,23.441,964,0.014131,2.060
0.0000,0.0000,234.7664,23.379,1804,0.013258,2.184
0.0000,0.0000,230.7722,23.770,1090,0.013498,1.996
0.0000,0.0000,234.7665,23.784,1246,0.013357,2.278
0.0000,0.0000,232.7685,23.491,2099,0.014384,2.370
0.0000,0.0000,230.7721,24.098,721,0.017618,1.921
0.0000,0.0000,134.8695,20.340,773,0.013163,2.085
0.0000,0.0000,234.7661,23.846,1446,0.017054,1.834
0.0000,0.0000,232.7687,24.003,2044,0.014028,2.209
0.0000,0.0000,304.9189,38.911,771,0.015643,1.868
0.0000,0.0000,230.7713,23.368,809,0.017044,2.224
0.0000,0.0000,234.7648,23.477,1267,0.017639,2.418
0.0000,0.0000,232.7694,23.363,2287,0.014247,2.253
0.0000,0.0000,234.7648,23.695,1229,0.013294,2.131
0.0000,0.0000,232.7668,23.798,1388,0.015402,2.330
0.0000,0.0000,230.7687,23.877,817,0.016652,2.077
0.0000,0.0000,234.7661,23.687,1322,0.018306,2.096
0.0000,0.0000,232.7679,23.767,1385,0.015479,1.967
0.0000,0.0000,230.7711,23.432,497,0.016401,2.783
0.0000,0.0000,234.7665,23.801,825,0.015502,2.347
0.0000,0.0000,232.7704,23.764,1303,0.016051,2.664
0.0000,0.0000,230.7709,23.204,1062,0.012817,2.024
0.0000,0.0000,234.7664,23.175,1113,0.018658,2.010
0.0000,0.0000,232.7691,23.291,1767,0.015958,1.855
0.0000,0.0000,232.7695,23.508,1331,0.014432,2.106
0.0000,0.0000,232.7706,23.649,1129,0.012756,2.363
0.0000,0.0000,234.7654,23.844,1256,0.0133,2.015
0.0000,0.0000,230.7679,23.294,598,0.01639,2.232
0.0000,0.0000,234.7657,23.976,848,0.015311,2.628
0.0000,0.0000,232.7695,23.786,1040,0.016602,2.362
0.0000,0.0000,234.7658,23.174,895,0.016287,1.805
0.0000,0.0000,232.7705,23.344,1178,0.017757,2.199
0.0000,0.0000,232.7673,23.921,927,0.016901,1.938
0.0000,0.0000,234.7657,23.910,1036,0.015517,2.025
0.0000,0.0000,232.7684,23.793,1180,0.015649,2.394
0.0000,0.0000,234.7669,23.668,1184,0.014477,2.159
0.0000,0.0000,611.2970,99.105,392,0.032256,4.251
0.0000,0.0000,230.7692,23.566,687,0.013088,2.291
0.0000,0.0000,234.7693,23.510,786,0.015788,2.076
0.0000,0.0000,232.7699,23.497,1335,0.015281,2.217
0.0000,0.0000,232.7698,23.729,617,0.017029,1.947
0.0000,0.0000,612.2978,99.332,703,0.027671,4.245
0.0000,0.0000,611.2942,99.274,3871,0.027955,3.975
0.0000,0.0000,555.2757,90.724,738,0.026699,1.901
0.0000,0.0000,612.2953,99.517,1019,0.033825,3.690
0.0000,0.0000,554.2731,90.404,2414,0.024123,3.314
0.0000,0.0000,611.2958,98.901,3682,0.0264,3.803
0.0000,0.0000,616.1976,94.039,457,0.02576,3.406
0.0000,0.0000,592.2307,93.715,475,0.039277,2.691
0.0000,0.0000,576.2531,91.184,573,0.024242,2.285
0.0000,0.0000,555.5599,89.845,603,0.019369,2.845
0.0000,0.0000,1109.5496,180.828,657,0.050059,2.743
0.0000,0.0000,611.2954,98.925,750,0.034841,3.704
0.0000,0.0000,655.1720,97.068,758,0.034138,2.595
0.0000,0.0000,653.1768,98.399,782,0.033097,3.782
0.0000,0.0000,554.9225,89.795,804,0.019277,2.498
0.0000,0.0000,557.2878,90.225,886,0.02734,3.045
0.0000,0.0000,555.4074,90.025,1214,0.019425,2.964
0.0000,0.0000,654.1728,97.573,1724,0.032724,3.915
0.0000,0.0000,652.1722,97.528,1876,0.033479,3.532
0.0000,0.0000,554.5581,89.678,2759,0.020658,3.020
0.0000,0.0000,554.4062,89.745,4881,0.020325,3.074
0.0000,0.0000,556.2787,89.499,6073,0.024118,3.270
0.0000,0.0000,555.2767,89.836,34489,0.022754,3.560
0.0000,0.0000,554.2748,89.750,91717,0.022543,3.592
0.0000,0.0000,1110.5488,183.836,295,0.035229,3.285
0.0000,0.0000,616.1903,92.885,321,0.034694,4.363
0.0000,0.0000,655.1798,98.474,437,0.040389,3.213
0.0000,0.0000,576.2528,91.630,451,0.035525,2.442
0.0000,0.0000,638.2314,99.146,475,0.02781,4.752
0.0000,0.0000,617.1959,94.973,494,0.027583,3.660
0.0000,0.0000,554.8584,90.277,534,0.019447,3.289
0.0000,0.0000,555.5616,89.911,635,0.023345,2.580
0.0000,0.0000,554.9210,90.186,655,0.027451,2.958
0.0000,0.0000,557.2839,90.023,686,0.040402,3.978
0.0000,0.0000,653.1757,97.849,789,0.030103,3.028
0.0000,0.0000,1109.5490,181.703,1021,0.047574,4.148
0.0000,0.0000,555.4083,89.921,1219,0.023226,3.081
0.0000,0.0000,654.1759,98.020,1940,0.031407,3.871
0.0000,0.0000,652.1728,98.209,1957,0.033613,3.857
0.0000,0.0000,554.5567,90.045,2891,0.024982,3.301
0.0000,0.0000,554.4040,90.015,4834,0.021396,3.509
0.0000,0.0000,556.2788,90.014,6207,0.024874,3.863
0.0000,0.0000,555.2763,90.131,35788,0.023648,3.641
